Usage_Frequency,Most_Used_Tool,Purpose,Understand_Better,Grades_Improved,Reliance_Level,Reduce_Thinking,Time_Saved_Minutes,Verify_Accuracy,Regulate_Education,Grade
Low,ChatGPT,Mixed,Yes,Yes,High,Yes,120,Sometimes,No,63
High,Gemini,Mixed,Yes,No,Medium,No,109,Always,Yes,67
High,ChatGPT,Research,No,No,Medium,Yes,120,Sometimes,Yes,88
Medium,ChatGPT,Assignments,Yes,Yes,High,Yes,95,Sometimes,No,57
Low,Claude,Mixed,Yes,Yes,Low,No,43,Sometimes,No,83
Low,ChatGPT,Mixed,Yes,No,Medium,Yes,120,Sometimes,Yes,61
Low,ChatGPT,Studying,No,Yes,Low,Yes,17,Sometimes,No,87
High,Copilot,Mixed,Yes,Yes,Medium,Yes,49,Always,No,53
Medium,ChatGPT,Mixed,Yes,No,Low,No,117,Never,Yes,57
Medium,ChatGPT,Studying,Yes,Yes,Low,No,92,Sometimes,Yes,70
Low,ChatGPT,Research,Yes,Yes,Low,No,51,Never,Yes,85
High,ChatGPT,Mixed,No,No,Medium,Yes,50,Always,Yes,75
High,Claude,Studying,Yes,Yes,High,Yes,110,Sometimes,Yes,72
Low,Copilot,Assignments,Yes,Yes,Medium,Yes,15,Never,No,88
Low,Gemini,Research,No,No,High,Yes,61,Always,Yes,97
Low,Copilot,Assignments,No,Yes,Medium,No,35,Always,Yes,82
Low,Copilot,Assignments,Yes,No,Medium,Yes,73,Sometimes,Yes,69
Medium,ChatGPT,Studying,Yes,No,High,Yes,107,Sometimes,Yes,71
Medium,Copilot,Mixed,Yes,Yes,Low,No,68,Sometimes,No,62
Low,ChatGPT,Studying,Yes,Yes,High,Yes,65,Always,Yes,76
Medium,Copilot,Studying,No,Yes,Low,Yes,68,Sometimes,Yes,59
Low,Copilot,Studying,No,Yes,High,No,118,Always,No,81
Low,ChatGPT,Studying,No,Yes,Low,Yes,79,Always,Yes,95
Low,ChatGPT,Research,No,No,High,No,110,Always,Yes,82
Medium,ChatGPT,Mixed,Yes,Yes,Medium,No,42,Sometimes,Yes,70
High,ChatGPT,Assignments,Yes,Yes,High,No,62,Sometimes,Yes,80
Low,Copilot,Assignments,No,No,Low,Yes,31,Sometimes,Yes,91
Medium,Copilot,Mixed,Yes,Yes,Medium,No,30,Always,Yes,91
Medium,ChatGPT,Assignments,Yes,No,High,Yes,79,Sometimes,Yes,65
Low,ChatGPT,Mixed,No,Yes,Medium,Yes,79,Always,No,80
Medium,ChatGPT,Assignments,No,Yes,Medium,Yes,13,Sometimes,Yes,73
Low,ChatGPT,Studying,Yes,No,Medium,No,103,Sometimes,Yes,83
Low,ChatGPT,Assignments,Yes,Yes,Medium,Yes,84,Always,Yes,79
High,ChatGPT,Mixed,Yes,No,Medium,Yes,71,Sometimes,Yes,51
High,Claude,Mixed,Yes,No,Medium,No,71,Always,Yes,72
High,ChatGPT,Mixed,Yes,No,High,Yes,103,Sometimes,Yes,77
Low,ChatGPT,Mixed,Yes,Yes,Low,Yes,104,Sometimes,No,61
Low,Gemini,Mixed,Yes,Yes,Medium,Yes,33,Always,Yes,81
Medium,ChatGPT,Research,Yes,No,High,Yes,64,Sometimes,Yes,60
Medium,Claude,Research,Yes,No,High,Yes,18,Always,Yes,67
Low,Claude,Assignments,Yes,No,Medium,Yes,12,Sometimes,No,88
Medium,ChatGPT,Mixed,Yes,Yes,Medium,No,40,Never,Yes,66
Low,ChatGPT,Assignments,No,Yes,Medium,Yes,49,Sometimes,Yes,81
High,ChatGPT,Mixed,Yes,No,Low,Yes,110,Always,Yes,57
Low,ChatGPT,Mixed,Yes,Yes,Medium,No,45,Never,No,96
Medium,ChatGPT,Research,Yes,No,Medium,Yes,33,Sometimes,Yes,72
Low,Gemini,Research,No,No,Medium,No,104,Always,No,76
Medium,ChatGPT,Studying,Yes,Yes,Low,Yes,15,Always,Yes,77
Medium,ChatGPT,Research,Yes,No,High,Yes,75,Sometimes,Yes,81
Low,ChatGPT,Studying,Yes,No,High,Yes,93,Sometimes,Yes,60
High,Claude,Studying,Yes,Yes,Medium,Yes,101,Sometimes,Yes,75
High,ChatGPT,Studying,Yes,No,Medium,Yes,84,Sometimes,Yes,68
High,ChatGPT,Studying,Yes,Yes,Medium,Yes,13,Sometimes,Yes,58
High,ChatGPT,Studying,Yes,No,High,Yes,88,Always,No,85
Medium,Claude,Assignments,No,Yes,Medium,Yes,15,Always,Yes,71
High,ChatGPT,Research,No,No,Low,Yes,103,Always,Yes,77
Low,Gemini,Studying,Yes,Yes,High,Yes,111,Sometimes,Yes,77
Low,Copilot,Mixed,Yes,Yes,High,Yes,60,Always,Yes,72
Low,ChatGPT,Research,No,No,High,Yes,71,Sometimes,Yes,95
Low,Gemini,Research,Yes,Yes,High,No,66,Sometimes,Yes,75
Low,ChatGPT,Studying,Yes,Yes,Medium,Yes,75,Sometimes,Yes,59
Low,Gemini,Assignments,Yes,No,Medium,No,88,Always,No,71
High,Gemini,Studying,Yes,No,High,No,84,Sometimes,No,80
Low,ChatGPT,Assignments,No,Yes,High,Yes,17,Always,Yes,80
Low,ChatGPT,Mixed,No,Yes,Low,No,35,Sometimes,Yes,64
Medium,Copilot,Research,Yes,Yes,Low,No,60,Always,Yes,84
Low,ChatGPT,Mixed,Yes,Yes,Medium,Yes,54,Always,Yes,57
High,ChatGPT,Assignments,Yes,Yes,High,Yes,53,Sometimes,Yes,86
Low,ChatGPT,Assignments,Yes,No,High,No,14,Always,Yes,62
High,Gemini,Mixed,Yes,No,Low,No,79,Always,No,73
High,Gemini,Assignments,Yes,No,Medium,Yes,35,Sometimes,Yes,86
Low,ChatGPT,Mixed,Yes,No,Medium,Yes,77,Sometimes,Yes,76
Low,ChatGPT,Research,Yes,Yes,High,Yes,28,Sometimes,Yes,83
High,ChatGPT,Mixed,Yes,Yes,High,Yes,93,Sometimes,Yes,81
Medium,Gemini,Research,No,Yes,High,No,106,Sometimes,No,88
Medium,ChatGPT,Mixed,No,Yes,Medium,Yes,29,Always,Yes,86
High,Gemini,Assignments,Yes,Yes,Medium,Yes,21,Always,Yes,70
Low,ChatGPT,Mixed,Yes,No,Medium,No,56,Always,No,81
Low,Claude,Assignments,Yes,Yes,Low,Yes,10,Never,Yes,60
Low,ChatGPT,Mixed,Yes,Yes,High,Yes,99,Sometimes,Yes,74
High,ChatGPT,Mixed,Yes,Yes,High,No,23,Sometimes,Yes,83
Medium,ChatGPT,Studying,No,No,High,No,73,Sometimes,Yes,76
Low,Claude,Assignments,Yes,Yes,High,Yes,47,Never,Yes,79
Low,Copilot,Studying,Yes,Yes,Medium,Yes,46,Always,No,73
Low,ChatGPT,Assignments,Yes,Yes,High,Yes,20,Sometimes,No,86
Low,Gemini,Studying,Yes,No,High,Yes,109,Sometimes,No,74
Medium,Copilot,Research,No,Yes,High,Yes,86,Sometimes,Yes,70
Medium,Gemini,Mixed,Yes,No,Low,Yes,116,Always,Yes,84
High,ChatGPT,Assignments,Yes,No,Medium,Yes,12,Sometimes,Yes,61
Medium,ChatGPT,Assignments,Yes,Yes,Low,Yes,42,Never,Yes,80
Low,ChatGPT,Mixed,Yes,Yes,High,Yes,15,Sometimes,No,65
Medium,Copilot,Assignments,Yes,No,Medium,Yes,59,Sometimes,Yes,88
High,Claude,Assignments,Yes,Yes,Low,Yes,19,Never,Yes,72
Medium,Gemini,Studying,Yes,Yes,Medium,Yes,14,Sometimes,Yes,76
High,ChatGPT,Assignments,Yes,No,Medium,Yes,32,Always,Yes,79
Medium,ChatGPT,Research,Yes,No,Medium,No,19,Sometimes,Yes,56
Medium,Gemini,Research,Yes,No,Low,No,53,Sometimes,Yes,68
Medium,Copilot,Mixed,Yes,No,Medium,No,11,Sometimes,Yes,85
Low,Copilot,Assignments,Yes,Yes,Medium,No,22,Sometimes,No,84
Low,Copilot,Mixed,Yes,Yes,High,Yes,49,Never,No,78
